5251;Venda de energia elétrica para distribuição ou comercialização
5252;Venda de energia elétrica para estabelecimento industrial
5253;Venda de energia elétrica para estabelecimento comercial
5254;Venda de energia elétrica para estabelecimento prestador de serviço de transporte
5255;Venda de energia elétrica para estabelecimento prestador de serviço de comunicação
5256;Venda de energia elétrica para estabelecimento de produtor rural
5257;Venda de energia elétrica para consumo por demanda contratada
5258;Venda de energia elétrica a não contribuinte
5401;Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto
5402;Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto
5403;Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária, na condição de contribuinte substituto
5405;Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária, na condição de contribuinte substituído
5551;Venda de bem do ativo imobilizado
5651;Venda de combustível ou lubrificante de produção do estabelecimento destinado à industrialização subseqüente
5652;Venda de combustível ou lubrificante de produção do estabelecimento destinado à comercialização
5653;Venda de combustível ou lubrificante de produção do estabelecimento destinado a consumidor ou usuário final
5654;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à industrialização subseqüente
5655;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado à comercialização 
5656;Venda de combustível ou lubrificante adquirido ou recebido de terceiros destinado a consumidor ou usuário final
5926;Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação
5927;Lançamento efetuado a título de baixa de estoque decorrente de perda, roubo ou deterioração
5928;Lançamento efetuado a título de baixa de estoque decorrente do encerramento da atividade da empresa 
5929;Lançamento efetuado em decorrência de emissão de documento fiscal relativo a operação ou prestação também registrada em equipamento/sistema Emissor de Cupom Fiscal
5931;Lançamento efetuado em decorrência da responsabilidade de retenção do imposto por substituição tributária, atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço 
5949;Outra saída de mercadoria ou prestação de serviço não especificado
5100;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS
5101;Venda de produção do estabelecimento
5102;Venda de mercadoria adquirida ou recebida de terceiros
5103;Venda de produção do estabelecimento, efetuada fora do estabelecimento
5104;Venda de mercadoria adquirida ou recebida de terceiros, efetuada fora do estabelecimento
5105;Venda de produção do estabelecimento que não deva por ele transitar
5106;Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar
5109;Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
5110;Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
5111;Venda de produção do estabelecimento remetida anteriormente em consignação industrial
5112;Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação industrial
5113;Venda de produção do estabelecimento remetida anteriormente em consignação mercantil
5114;Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação mercantil
5115;Venda de mercadoria adquirida ou recebida de terceiros, recebida anteriormente em consignação mercantil
5116;Venda de produção do estabelecimento originada de encomenda para entrega futura
5117;Venda de mercadoria adquirida ou recebida de terceiros, originada de encomenda para entrega futura
5118;Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem
5119;Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem
5120;Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem
5122;Venda de produção do estabelecimento remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente
5123;Venda de mercadoria adquirida ou recebida de terceiros remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente
